Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26914,Add Brown Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90063,,1,448,1,16512,,,,,,,,,RC007632,,,,,,,,,,,
26915,Add Spanish Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90063,,1,448,1,16513,,,,,,,,,RC006657,,,,,,,,,,,
26916,CG 64 *AGAVE-CHIP GLAZED WINGS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16516,,,,,,,,,,,,,,,,,,,,
26917,Add Sour Cream,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16517,,,,,,,,,RC005488,,,,,,,,,,,
26918,As an Appetizer,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16518,,,,,,,,,RC001348,,,,,,,,,,,
26919,Add Guacamole,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16519,,,,,,,,,RC001227,,,,,,,,,,,
26920,Salsa Verde,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16520,,,,,,,,,RC008359,,,,,,,,,,,
26921,Salsa Roja,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16521,,,,,,,,,RC004362,,,,,,,,,,,
26922,Black Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16522,,,,,,,,,RC003940,,,,,,,,,,,
26923,Refried Beans,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16498,,,,,,,,,RC003500,,,,,,,,,,,
26924,Add Brown Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16523,,,,,,,,,RC007632,,,,,,,,,,,
26925,Add Spanish Rice ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90064,,1,448,1,16524,,,,,,,,,RC006657,,,,,,,,,,,
26926,CG 65*YOUGURT PARFAIT MODS*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16526,,,,,,,,,,,,,,,,,,,,
26927,No Fruit,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90065,,1,448,1,16527,,,,,,,,,RC005702,,,,,,,,,,,
26928,CG 66 *TANGLEWOOD DESSERT COFFEE*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16530,,,,,,,,,,,,,,,,,,,,
26929,Add Coffee to Dessert,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90066,,1,448,1,16531,,,,,,,,,RC002439,,,,,,,,,,,
26685,CG 22 *SUB EGG WHITES*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16156,,,,,,,,,,,,,,,,,,,,
26686,Egg Whites ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90022,,1,448,1,16157,,,,,,,,,RC000381,,,,,,,,,,,
26687,CG 23 *ADD AN EGG*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16158,,,,,,,,,,,,,,,,,,,,
26688,Egg Whites ,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16159,,,,,,,,,RC000381,,,,,,,,,,,
26689,Add a Scrambled Egg,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16143,,,,,,,,,RC001068,,,,,,,,,,,
26690,Add an Over Easy Egg,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16160,,,,,,,,,RC001045,,,,,,,,,,,
26691,Add an Over Medium Egg,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16161,,,,,,,,,RC001550,,,,,,,,,,,
26692,Add an Over Hard Egg,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16162,,,,,,,,,RC001034,,,,,,,,,,,
26693,Add a Poached Egg,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16163,,,,,,,,,RC001267,,,,,,,,,,,
26694,Add a Sunny Side Up Egg,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90023,,1,448,1,16164,,,,,,,,,RC001290,,,,,,,,,,,
26695,CG 24 *NO CHEESE*,,,0,,"00000000	",,,,,,TRUE,,,,"00000000	","00000000	",0,,,,1,448,1,16165,,,,,,,,,,,,,,,,,,,,
26696,No Cheese,,,0,,"00000000	",,,,,,TRUE,,,,"11111111	","11111111	",0,,90024,,1,448,1,16166,,,,,,,,,RC000005,,,,,,,,,,,
