Id,FirstName,SecondName,ThirdName,SLUSort,Surcharge,DefinitionOptionBits,SpecialCount,Icon,Tare,PrepTime,NLU,MoveFlag,NLUGroup,SLU,MobileSLU,MainMenuLevel,SubMenuLevel,PrefixLevelOverride,PrintClassOverride,MenuItemClass,LongDescriptor,Quantity,HierarchyId,DefinitionSequence,MenuItemMasterId,SORT_ORDER,CONDIMENT_MAX,ConsumerFacingName,ConsumerFacingDescription,ConsumerFacingImageDetails,DAYPARTS,STARBUCKS_ITEM,FLO_UI_CREW_MEAL,ALLEGRO_ITEM_ID,,,,,,,,,,,
26432, Carnitas Tacos,,,0,,"00000000	",,,,,,TRUE,,112,,"11111111	","11111111	",0,,1622,,1,448,1,16794,,,Carnitas Tacos,Pork carnitas, crushed chicharrones, cotija cheese, onion, cilantro, jalapev±o, corn tortillas, side of rice, beans, & sour cram,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912140200695.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 107 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC003249,,
26433, Cheesecake,,,0,,"00000000	",,,,,,TRUE,,116,,"11111111	","11111111	",0,,1001,,1,448,1,16795,,,Cheesecake,Topped with berries,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912140222982.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 220 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Breakfast,Lunch/Dinner,,,RC008429,,,,,,,,,,
26434, Chicken Bacon Ranch Quesadilla,,,0,,"00000000	",,,,,,TRUE,,112,,"11111111	","11111111	",0,,1623,,1,448,1,16796,,,Chicken Bacon Ranch Quesadilla,Chicken, bacon, ranch, cheddar jack cheese, jalapeno,  flour tortilla, side of sour cream & pico de gallo,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912140241949.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 107 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC002257,,,,,
26435, Chicken Fajita Quesadilla,,,0,,"00000000	",,,,,,TRUE,,112,,"11111111	","11111111	",0,,1624,,1,448,1,16797,,,Chicken Fajita Quesadilla,Chicken, cheddar Jack cheese, black beans, pickled jalapeno, onions, peppers, flour tortilla, side of pico de gallo,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912140256477.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 108 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC003820,,,,
26436, Chicken Tinga Tacos,,,0,,"00000000	",,,,,,TRUE,,110,,"11111111	","11111111	",0,,1622,,1,448,1,16798,,,Chicken Tinga Tacos,Cotija, chipotle crema, scallions, corn tortillas, side of rice and beans.,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912140313362.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 111 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC007136,,,,,,,
26437, Chips & Guacamole,,,0,,"00000000	",,,,,,TRUE,,110,,"11111111	","11111111	",0,,1640,,1,448,1,16799,,,Chips & Guacamole,,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912140332615.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 200 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC002606,,,,,,,,,,,
26495, Spice Rubbed Carnitas Fajita,,,0,,"00000000	",,,,,,TRUE,,112,,"11111111	","11111111	",0,,1619,,1,448,1,16857,,,Spice Rubbed Carnitas Fajita,Spice rubbed pork carnitas, onions, peppers, corn tortillas, served with pico de gallo, rice, beans, cotija, lime,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912142207779.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 222 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC005799,,,
26496, Steak & Eggs*,,,0,,"00000000	",,,,,,TRUE,,101,,"11111111	","11111111	",0,,1637,,1,448,1,16858,,,Steak & Eggs*,Hanger steak served with two eggs any style and breakfast potatoes.,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Breakfast,,,RC007978,,,,,,,,,,,
26497, Steak Quesadilla,,,0,,"00000000	",,,,,,TRUE,,112,,"11111111	","11111111	",0,,1623,,1,448,1,16859,,,Steak Quesadilla,Skirt steak, black beans, cheddar jack cheese, jalapeno, flour tortilla, side of pico de gallo,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912142247507.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 65 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC007793,,,,,,
26498, Tex-Mex Breakfast Tacos,,,0,,"00000000	",,,,,,TRUE,,103,,"11111111	","11111111	",0,,1605,,1,448,1,16860,,,Tex-Mex Breakfast Tacos,Scrambled eggs, cheddar jack, pico de gallo, jalapeno, crema, corn tortillas, side of breakfast potatoes,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912142302848.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 86 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Breakfast,,,RC002551,,,,,
26499, Tex-Mex Burger,,,0,,"00000000	",,,,,,TRUE,,111,,"11111111	","11111111	",0,,1627,,1,448,1,16861,,,Tex-Mex Burger,Double patties, queso, pico de gallo, jalapeno, shredded lettuce, chipotle aioli, brioche bun, side of fries,"<?xml version=""1.0"" encoding=""UTF-16""?><ImageDetails><Version>1</Version><Image><ImageIndex>1</ImageIndex><ImageURL>https://objectstorage.us-ashburn-1.oraclecloud.com/n/oraclegbuprod/b/IC_FBGBU_SS_57664_bt-sim-250722182826-OTG-078cb257-9dd3-43fc-97b1-6bf80c0a6f17/o/OTG250912142322374.jpg</ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>True</IsCloudImage><ImageSize>Size: 92 kb, jpg: 510 x 510 px</ImageSize></Image><Image><ImageIndex>2</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>3</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>4</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>5</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>6</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>7</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>8</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>9</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image><Image><ImageIndex>10</ImageIndex><ImageURL></ImageURL><ImageAltText></ImageAltText><ImageDescription></ImageDescription><IsCloudImage>false</IsCloudImage><ImageSize></ImageSize></Image></ImageDetails>",Lunch/Dinner,,,RC004668,,,,
