Id,MasterName,ReportGroup,Status,MajorGroup,FamilyGroup,RecipeLink,MenuItemName,ObjectNumber,HierarchyId,LP_DontPrintWhenNOPrefix,LP_PrintQuantityAlways,LP_FlavourItem,LP_DoNotPrintWhenDisplayInDefaultState,LP_SugarCaneItem,LP_PrintInDefaultState
17918,171831,0,"00000000	",0,0,,** CG:38 SPAGHETTI MARINARA MODIFIERS **,41205760,42,,,,,,
17919,171832,1,"00000000	",1000,10006,,No Cheese,41205761,42,,,,,,
17920,171833,1,"00000000	",1000,10006,,Marinara Sauce ,41205762,42,,,,,,
17921,171834,1,"00000000	",1000,10006,,Chicken Parm,41205763,42,,,,,,
17922,171835,0,"00000000	",0,0,,** CG:40 GARLIC KNOTS OPTIONS **,41205800,42,,,,,,
17923,171836,1,"00000000	",1000,10006,,As an Appetizer,41205801,42,,,,,,
17924,171837,1,"00000000	",1000,10006,,Pomodoro,41205802,42,,,,,,
17925,171838,1,"00000000	",1000,10006,,Additional Olives,41205803,42,,,,,,
17926,171839,0,"00000000	",0,0,,** CG:42 ITALIAN SAUSAGE MODIFIERS **,41205840,42,,,,,,
17927,171840,1,"00000000	",1000,10006,,No Onions,41205841,42,,,,,,
17928,171841,1,"00000000	",1000,10006,,No Peppers,41205842,42,,,,,,
17929,171842,1,"00000000	",1000,10006,,As an Appetizer,41205843,42,,,,,,
17930,171843,1,"00000000	",1000,10006,,No Herbs,41205844,42,,,,,,
17931,171844,1,"00000000	",1000,10006,,Additional Olives,41205845,42,,,,,,
17932,171845,1,"00000000	",1000,10006,,Italian Sausage,41205846,42,,,,,,
17933,171846,1,"00000000	",1000,10006,,Ciabatta,41205847,42,,,,,,
17934,171847,0,"00000000	",0,0,,** CG:44 MUSHROOM OMELETTE OPTIONS **,41205880,42,,,,,,
17935,171848,1,"00000000	",1000,10006,,Tomatoes ,41205881,42,,,,,,
17936,171849,1,"00000000	",1000,10006,,Egg Whites ,41205882,42,,,,,,
17937,171850,1,"00000000	",1000,10006,,Mozzarella ,41205883,42,,,,,,
17938,171851,1,"00000000	",1000,10006,,Mushrooms,41205884,42,,,,,,
17939,171852,1,"00000000	",1000,10006,,No Cheese,41205885,42,,,,,,
17940,171853,1,"00000000	",1000,10006,,Avocado,41205886,42,,,,,,
17941,171854,1,"00000000	",1000,10006,,Spinach,41205887,42,,,,,,
17942,171855,1,"00000000	",1000,10006,,Extra Egg,41205888,42,,,,,,
17943,171856,0,"00000000	",0,0,,** CG:46 BUILD YOUR OWN OMELETTE OPTIONS **,41205920,42,,,,,,
17944,171857,1,"00000000	",1000,10006,,Egg Whites ,41205921,42,,,,,,
17945,171858,1,"00000000	",1000,10006,,Mozzarella ,41205922,42,,,,,,
17946,171859,1,"00000000	",1000,10006,,Bacon,41205923,42,,,,,,
17947,171860,1,"00000000	",1000,10006,,Pork Sausage,41205924,42,,,,,,
17948,171861,1,"00000000	",1000,10006,,Spinach,41205925,42,,,,,,
17949,171862,1,"00000000	",1000,10006,,Provolone Cheese,41205926,42,,,,,,
17950,171863,1,"00000000	",1000,10006,,Extra Egg,41205927,42,,,,,,
17951,171864,1,"00000000	",1000,10006,,Roasted Tomato,41205928,42,,,,,,
17952,171865,1,"00000000	",1000,10006,,Mushrooms ,41205929,42,,,,,,
17953,171866,1,"00000000	",1000,10006,,Prosciutto,41205930,42,,,,,,
